TxnDate,NameOf,BillableStatus,Taxable,HourlyRate,Hours,Minutes,Description,domain,sparse,Id,SyncToken,EmployeeRef_value,EmployeeRef_name,CustomerRef_value,CustomerRef_name,ItemRef_value,ItemRef_name,MetaData_CreateTime,MetaData_LastUpdatedTime
2022-03-12,Employee,NotBillable,False,0,17,7,Lumber,QBO,False,12,0,68,0,12,Jeff's Jalopies,1,Services,2022-03-12 13:59:52,2022-03-12 13:59:52
2023-03-10,Employee,HasBeenBilled,False,97,20,51,Weekly Gardening Service,QBO,False,13,0,69,0,2,Bill's Windsurf Shop,6,Gardening,2023-03-10 00:49:23,2023-03-10 00:49:23
2022-01-10,Employee,NotBillable,False,0,4,31,Sprinkler Heads,QBO,False,14,1,54,1,35,Charlie Whitehead,16,Sprinkler Heads,2022-01-10 02:25:24,2022-01-10 02:25:24
2021-06-24,Employee,HasBeenBilled,False,12,9,36,Weekly Gardening Service,QBO,False,15,0,68,0,37,Clement's Cleaners,6,Gardening,2021-06-24 00:48:21,2021-06-24 00:48:21
2022-07-14,Employee,HasBeenBilled,False,94,27,57,Concrete for fountain installation,QBO,False,16,0,67,0,25,Sushi by Katsuyuki,3,Concrete,2022-07-14 08:11:37,2022-07-14 08:11:37
2023-03-28,Employee,Billable,False,11,26,0,Weekly Gardening Service,QBO,False,17,0,68,0,48,Karna Nisewaner,6,Gardening,2023-03-28 11:47:09,2023-03-28 11:47:09
2022-03-31,Employee,Billable,False,92,22,45,Weekly Gardening Service,QBO,False,18,1,54,1,32,Benjamin Yeung,6,Gardening,2022-03-31 14:59:18,2022-03-31 14:59:18
2023-03-03,Employee,Billable,False,38,20,10,Weekly Gardening Service,QBO,False,19,0,55,0,8,Freeman Sporting Goods:0969 Ocean View Road,6,Gardening,2023-03-03 03:38:21,2023-03-03 03:38:21
2021-05-22,Employee,HasBeenBilled,False,54,19,58,Weekly Gardening Service,QBO,False,20,0,69,0,45,Jordan Burgess,6,Gardening,2021-05-22 22:38:14,2021-05-22 22:38:14
2021-10-21,Employee,Billable,False,79,29,7,Weekly Gardening Service,QBO,False,21,0,69,0,2,Bill's Windsurf Shop,6,Gardening,2021-10-21 04:28:57,2021-10-21 04:28:57
2022-05-10,Employee,Billable,False,12,22,20,Weekly Gardening Service,QBO,False,22,0,67,0,11,Gevelber Photography,6,Gardening,2022-05-10 06:16:27,2022-05-10 06:16:27
2023-02-17,Employee,NotBillable,False,0,15,57,Pest Control Services,QBO,False,23,0,67,0,24,Sonnenschein Family Store,10,Pest Control,2023-02-17 10:29:01,2023-02-17 10:29:01
2022-07-10,Employee,NotBillable,False,0,20,47,Sprinkler Heads,QBO,False,24,0,69,0,43,Jacint Tumacder,16,Sprinkler Heads,2022-07-10 23:02:46,2022-07-10 23:02:46
2022-11-26,Employee,NotBillable,False,0,6,12,Rock Fountain,QBO,False,25,1,54,1,31,Alex Blakey,5,Rock Fountain,2022-11-26 07:01:30,2022-11-26 07:01:30
2022-10-15,Employee,NotBillable,False,0,4,5,Rock Fountain,QBO,False,26,1,54,1,25,Sushi by Katsuyuki,5,Rock Fountain,2022-10-15 05:45:37,2022-10-15 05:45:37
2022-05-14,Employee,Billable,False,75,24,40,Weekly Gardening Service,QBO,False,27,0,68,0,9,Freeman Sporting Goods:55 Twin Lane,6,Gardening,2022-05-14 18:28:22,2022-05-14 18:28:22
2023-01-31,Employee,Billable,False,16,26,32,Custom Design,QBO,False,28,1,13,1,11,Gevelber Photography,4,Design,2023-01-31 03:23:00,2023-01-31 03:23:00
2023-02-17,Employee,NotBillable,False,0,29,28,Weekly Gardening Service,QBO,False,29,1,13,1,44,Jen Zaccarella,6,Gardening,2023-02-17 09:35:55,2023-02-17 09:35:55
2021-09-06,Employee,NotBillable,False,0,18,48,Weekly Gardening Service,QBO,False,30,1,54,1,26,Travis Waldron,6,Gardening,2021-09-06 09:11:31,2021-09-06 09:11:31
2021-04-28,Employee,HasBeenBilled,False,54,17,17,Weekly Gardening Service,QBO,False,31,0,69,0,7,Freeman Sporting Goods,6,Gardening,2021-04-28 00:58:08,2021-04-28 00:58:08
2023-08-30,Employee,HasBeenBilled,False,89,22,47,Custom Design,QBO,False,32,0,69,0,19,Rago Travel Agency,4,Design,2023-08-30 00:45:39,2023-08-30 00:45:39
2021-11-23,Employee,Billable,False,38,2,57,Weekly Gardening Service,QBO,False,33,1,54,1,18,Paulsen Medical Supplies,6,Gardening,2021-11-23 11:55:25,2021-11-23 11:55:25
2021-04-22,Employee,NotBillable,False,0,14,14,Weekly Gardening Service,QBO,False,34,1,13,1,29,Weiskopf Consulting,6,Gardening,2021-04-22 09:57:00,2021-04-22 09:57:00
2023-08-13,Employee,HasBeenBilled,False,40,4,38,Weekly Gardening Service,QBO,False,35,0,68,0,13,John Melton,6,Gardening,2023-08-13 20:43:29,2023-08-13 20:43:29
2021-07-24,Employee,HasBeenBilled,False,94,11,9,Pest Control Services,QBO,False,36,1,12,1,32,Benjamin Yeung,10,Pest Control,2021-07-24 11:28:24,2021-07-24 11:28:24
2023-03-26,Employee,NotBillable,False,0,21,6,Sprinkler Pipes,QBO,False,37,0,55,0,27,Video Games by Dan,17,Sprinkler Pipes,2023-03-26 06:21:12,2023-03-26 06:21:12
2022-06-25,Employee,Billable,False,40,12,17,Weekly Gardening Service,QBO,False,38,0,69,0,51,Moturu Tapasvi,6,Gardening,2022-06-25 22:01:43,2022-06-25 22:01:43
2021-04-09,Employee,Billable,False,48,23,37,Sprinkler Heads,QBO,False,39,1,12,1,43,Jacint Tumacder,16,Sprinkler Heads,2021-04-09 01:24:00,2021-04-09 01:24:00
2023-01-12,Employee,Billable,False,17,30,48,Sod,QBO,False,40,1,12,1,43,Jacint Tumacder,14,Sod,2023-01-12 09:43:36,2023-01-12 09:43:36
2022-04-11,Employee,Billable,False,74,5,14,Sprinkler Pipes,QBO,False,41,1,13,1,51,Moturu Tapasvi,17,Sprinkler Pipes,2022-04-11 04:10:45,2022-04-11 04:10:45
2021-01-10,Employee,NotBillable,False,0,18,14,Weekly Gardening Service,QBO,False,42,1,12,1,42,Himateja Madala,6,Gardening,2021-01-10 23:24:39,2021-01-10 23:24:39
2023-10-19,Employee,HasBeenBilled,False,25,25,3,Weekly Gardening Service,QBO,False,43,1,12,1,23,Shara Barnett:Barnett Design,6,Gardening,2023-10-19 18:45:27,2023-10-19 18:45:27
2023-03-12,Employee,Billable,False,97,19,50,Weekly Gardening Service,QBO,False,44,0,67,0,42,Himateja Madala,6,Gardening,2023-03-12 04:39:25,2023-03-12 04:39:25
2023-08-07,Employee,Billable,False,57,6,5,Pest Control Services,QBO,False,45,1,12,1,3,Cool Cars,10,Pest Control,2023-08-07 17:35:07,2023-08-07 17:35:07
2022-01-13,Employee,HasBeenBilled,False,71,4,43,Weekly Gardening Service,QBO,False,46,0,69,0,26,Travis Waldron,6,Gardening,2022-01-13 17:46:09,2022-01-13 17:46:09
2021-02-03,Employee,HasBeenBilled,False,81,15,58,Weekly Gardening Service,QBO,False,47,1,54,1,20,Red Rock Diner,6,Gardening,2021-02-03 13:49:32,2021-02-03 13:49:32
2023-03-07,Employee,NotBillable,False,0,30,8,Weekly Gardening Service,QBO,False,48,0,55,0,23,Shara Barnett:Barnett Design,6,Gardening,2023-03-07 19:57:55,2023-03-07 19:57:55
2021-04-08,Employee,Billable,False,82,13,42,Weekly Gardening Service,QBO,False,49,0,55,0,27,Video Games by Dan,6,Gardening,2021-04-08 03:16:00,2021-04-08 03:16:00
2022-02-08,Employee,Billable,False,52,17,16,Custom Design,QBO,False,50,0,67,0,18,Paulsen Medical Supplies,4,Design,2022-02-08 00:18:12,2022-02-08 00:18:12
2023-04-09,Employee,Billable,False,12,5,36,Rock Fountain,QBO,False,51,0,67,0,39,Froilan Rosqueta,5,Rock Fountain,2023-04-09 07:06:38,2023-04-09 07:06:38
2023-07-18,Employee,NotBillable,False,0,18,17,Weekly Gardening Service,QBO,False,52,1,12,1,52,Nadia Phillipchuk,6,Gardening,2023-07-18 20:32:30,2023-07-18 20:32:30
2021-09-14,Employee,Billable,False,90,13,4,Weekly Gardening Service,QBO,False,53,0,68,0,19,Rago Travel Agency,6,Gardening,2021-09-14 22:19:57,2021-09-14 22:19:57
2022-08-06,Employee,HasBeenBilled,False,46,20,29,Rock Fountain,QBO,False,54,0,69,0,11,Gevelber Photography,5,Rock Fountain,2022-08-06 18:31:18,2022-08-06 18:31:18
2023-09-04,Employee,NotBillable,False,0,24,41,Sod,QBO,False,55,0,68,0,1,Amy's Bird Sanctuary,14,Sod,2023-09-04 19:31:35,2023-09-04 19:31:35
2022-05-13,Employee,HasBeenBilled,False,18,11,20,Rock Fountain,QBO,False,56,0,68,0,7,Freeman Sporting Goods,5,Rock Fountain,2022-05-13 17:32:46,2022-05-13 17:32:46
2023-11-23,Employee,HasBeenBilled,False,80,19,37,Rock Fountain,QBO,False,57,1,54,1,6,Dylan Sollfrank,5,Rock Fountain,2023-11-23 18:57:54,2023-11-23 18:57:54
2022-05-06,Employee,HasBeenBilled,False,43,26,7,Custom Design,QBO,False,58,0,67,0,48,Karna Nisewaner,4,Design,2022-05-06 11:12:58,2022-05-06 11:12:58
2023-10-21,Employee,HasBeenBilled,False,49,27,3,Weekly Gardening Service,QBO,False,59,1,54,1,25,Sushi by Katsuyuki,6,Gardening,2023-10-21 04:03:04,2023-10-21 04:03:04
2021-05-12,Employee,NotBillable,False,0,28,18,Tree and Shrub Trimming,QBO,False,60,0,55,0,13,John Melton,18,Trimming,2021-05-12 12:57:56,2021-05-12 12:57:56
2022-03-15,Employee,NotBillable,False,0,24,19,Weekly Gardening Service,QBO,False,61,1,54,1,56,Rob deMontarnal,6,Gardening,2022-03-15 14:11:59,2022-03-15 14:11:59
2021-05-04,Employee,HasBeenBilled,False,29,2,57,Weekly Gardening Service,QBO,False,62,0,55,0,17,Mark Cho,6,Gardening,2021-05-04 09:32:28,2021-05-04 09:32:28
2023-04-08,Employee,NotBillable,False,0,23,49,Weekly Gardening Service,QBO,False,63,0,68,0,33,Cathy Quon,6,Gardening,2023-04-08 13:44:46,2023-04-08 13:44:46
2022-01-20,Employee,HasBeenBilled,False,43,5,55,Pest Control Services,QBO,False,64,0,68,0,36,Cheng-Cheng Lok,10,Pest Control,2022-01-20 23:15:54,2022-01-20 23:15:54
2021-11-20,Employee,Billable,False,63,30,53,Weekly Gardening Service,QBO,False,65,1,54,1,21,Rondonuwu Fruit and Vegi,6,Gardening,2021-11-20 16:11:11,2021-11-20 16:11:11
2023-01-02,Employee,HasBeenBilled,False,49,24,1,Sprinkler Heads,QBO,False,66,1,12,1,45,Jordan Burgess,16,Sprinkler Heads,2023-01-02 19:03:11,2023-01-02 19:03:11
2021-05-09,Employee,Billable,False,15,23,0,Pest Control Services,QBO,False,67,0,69,0,30,Adwin Ko,10,Pest Control,2021-05-09 17:59:18,2021-05-09 17:59:18
2021-08-21,Employee,NotBillable,False,0,22,42,Weekly Gardening Service,QBO,False,68,0,68,0,17,Mark Cho,6,Gardening,2021-08-21 00:18:54,2021-08-21 00:18:54
2021-03-28,Employee,NotBillable,False,0,25,48,Rock Fountain,QBO,False,69,1,54,1,23,Shara Barnett:Barnett Design,5,Rock Fountain,2021-03-28 07:40:55,2021-03-28 07:40:55
2021-06-06,Employee,HasBeenBilled,False,90,24,31,Tree and Shrub Trimming,QBO,False,70,0,69,0,39,Froilan Rosqueta,18,Trimming,2021-06-06 06:50:35,2021-06-06 06:50:35
2023-02-15,Employee,HasBeenBilled,False,74,23,30,Weekly Gardening Service,QBO,False,71,1,13,1,24,Sonnenschein Family Store,6,Gardening,2023-02-15 16:55:50,2023-02-15 16:55:50
2022-07-05,Employee,NotBillable,False,0,21,27,Sprinkler Heads,QBO,False,72,1,12,1,29,Weiskopf Consulting,16,Sprinkler Heads,2022-07-05 22:21:12,2022-07-05 22:21:12
2022-10-16,Employee,HasBeenBilled,False,15,2,29,Tree and Shrub Trimming,QBO,False,73,0,67,0,5,Dukes Basketball Camp,18,Trimming,2022-10-16 13:24:01,2022-10-16 13:24:01
2023-02-23,Employee,Billable,False,59,23,30,Rock Fountain,QBO,False,74,0,55,0,37,Clement's Cleaners,5,Rock Fountain,2023-02-23 22:49:07,2023-02-23 22:49:07
2021-05-26,Employee,Billable,False,23,9,31,Weekly Gardening Service,QBO,False,75,0,67,0,36,Cheng-Cheng Lok,6,Gardening,2021-05-26 22:43:27,2021-05-26 22:43:27
2022-06-21,Employee,NotBillable,False,0,18,22,Rock Fountain,QBO,False,76,0,55,0,1,Amy's Bird Sanctuary,5,Rock Fountain,2022-06-21 09:12:12,2022-06-21 09:12:12
2021-12-27,Employee,NotBillable,False,0,23,52,Rock Fountain,QBO,False,77,0,67,0,19,Rago Travel Agency,5,Rock Fountain,2021-12-27 23:10:17,2021-12-27 23:10:17
2021-02-02,Employee,HasBeenBilled,False,53,18,53,Tree and Shrub Trimming,QBO,False,78,0,69,0,18,Paulsen Medical Supplies,18,Trimming,2021-02-02 02:50:06,2021-02-02 02:50:06
2021-07-24,Employee,NotBillable,False,0,30,18,Weekly Gardening Service,QBO,False,79,1,54,1,46,Justine Outland,6,Gardening,2021-07-24 23:56:35,2021-07-24 23:56:35
2022-08-13,Employee,HasBeenBilled,False,39,26,2,Rock Fountain,QBO,False,80,0,55,0,56,Rob deMontarnal,5,Rock Fountain,2022-08-13 07:36:21,2022-08-13 07:36:21
2021-07-12,Employee,Billable,False,19,30,20,Weekly Gardening Service,QBO,False,81,1,54,1,33,Cathy Quon,6,Gardening,2021-07-12 13:25:01,2021-07-12 13:25:01
2023-08-07,Employee,Billable,False,87,2,19,Weekly Gardening Service,QBO,False,82,0,67,0,28,Wedding Planning by Whitney,6,Gardening,2023-08-07 05:59:49,2023-08-07 05:59:49
2023-08-13,Employee,NotBillable,False,0,23,13,Weekly Gardening Service,QBO,False,83,0,55,0,1,Amy's Bird Sanctuary,6,Gardening,2023-08-13 04:55:46,2023-08-13 04:55:46
2023-01-29,Employee,Billable,False,15,15,37,Sod,QBO,False,84,1,12,1,26,Travis Waldron,14,Sod,2023-01-29 15:40:17,2023-01-29 15:40:17
2021-03-10,Employee,Billable,False,95,30,14,Weekly Gardening Service,QBO,False,85,1,13,1,27,Video Games by Dan,6,Gardening,2021-03-10 11:08:53,2021-03-10 11:08:53
2022-11-27,Employee,HasBeenBilled,False,10,15,9,Custom Design,QBO,False,86,0,67,0,6,Dylan Sollfrank,4,Design,2022-11-27 13:47:12,2022-11-27 13:47:12
2022-11-08,Employee,Billable,False,57,17,24,Weekly Gardening Service,QBO,False,87,1,54,1,43,Jacint Tumacder,6,Gardening,2022-11-08 08:37:15,2022-11-08 08:37:15
2023-11-23,Employee,NotBillable,False,0,20,38,Concrete for fountain installation,QBO,False,88,0,55,0,49,Kristy Abercrombie,3,Concrete,2023-11-23 09:44:18,2023-11-23 09:44:18
2021-07-15,Employee,Billable,False,99,24,40,Sprinkler Heads,QBO,False,89,1,13,1,36,Cheng-Cheng Lok,16,Sprinkler Heads,2021-07-15 03:06:36,2021-07-15 03:06:36
2022-02-26,Employee,Billable,False,69,7,4,Rock Fountain,QBO,False,90,1,12,1,6,Dylan Sollfrank,5,Rock Fountain,2022-02-26 05:03:15,2022-02-26 05:03:15
2023-01-04,Employee,HasBeenBilled,False,28,12,18,Weekly Gardening Service,QBO,False,91,0,68,0,41,Hazel Robinson,6,Gardening,2023-01-04 06:06:27,2023-01-04 06:06:27
2021-08-30,Employee,NotBillable,False,0,12,38,Rock Fountain,QBO,False,92,1,12,1,16,Kookies by Kathy,5,Rock Fountain,2021-08-30 08:37:40,2021-08-30 08:37:40
2023-08-18,Employee,Billable,False,16,19,12,Weekly Gardening Service,QBO,False,93,0,68,0,48,Karna Nisewaner,6,Gardening,2023-08-18 21:35:17,2023-08-18 21:35:17
2022-12-07,Employee,NotBillable,False,0,14,23,Rock Fountain,QBO,False,94,0,55,0,51,Moturu Tapasvi,5,Rock Fountain,2022-12-07 22:31:37,2022-12-07 22:31:37
2021-09-21,Employee,NotBillable,False,0,11,51,Custom Design,QBO,False,95,0,68,0,39,Froilan Rosqueta,4,Design,2021-09-21 15:20:50,2021-09-21 15:20:50
2021-10-15,Employee,NotBillable,False,0,12,47,Weekly Gardening Service,QBO,False,96,0,55,0,31,Alex Blakey,6,Gardening,2021-10-15 04:21:58,2021-10-15 04:21:58
2023-07-05,Employee,NotBillable,False,0,22,2,Sod,QBO,False,97,0,68,0,50,Lew Plumbing,14,Sod,2023-07-05 21:03:46,2023-07-05 21:03:46
2022-06-17,Employee,HasBeenBilled,False,41,16,41,Rock Fountain,QBO,False,98,0,67,0,3,Cool Cars,5,Rock Fountain,2022-06-17 20:50:20,2022-06-17 20:50:20
2021-12-13,Employee,HasBeenBilled,False,39,27,31,Concrete for fountain installation,QBO,False,99,0,68,0,46,Justine Outland,3,Concrete,2021-12-13 07:43:19,2021-12-13 07:43:19
2023-11-20,Employee,NotBillable,False,0,26,43,Weekly Gardening Service,QBO,False,100,0,69,0,47,Kari Steblay,6,Gardening,2023-11-20 17:57:31,2023-11-20 17:57:31
2022-08-19,Employee,Billable,False,16,3,33,Pest Control Services,QBO,False,101,1,54,1,43,Jacint Tumacder,10,Pest Control,2022-08-19 02:27:36,2022-08-19 02:27:36
2022-09-16,Employee,Billable,False,25,4,10,Sod,QBO,False,102,1,54,1,4,Diego Rodriguez,14,Sod,2022-09-16 18:34:40,2022-09-16 18:34:40
2022-12-24,Employee,Billable,False,41,28,24,Weekly Gardening Service,QBO,False,103,1,13,1,17,Mark Cho,6,Gardening,2022-12-24 06:18:12,2022-12-24 06:18:12
2023-05-16,Employee,HasBeenBilled,False,20,8,60,Rock Fountain,QBO,False,104,1,54,1,7,Freeman Sporting Goods,5,Rock Fountain,2023-05-16 08:44:39,2023-05-16 08:44:39
2022-08-09,Employee,Billable,False,57,6,52,Weekly Gardening Service,QBO,False,105,1,12,1,41,Hazel Robinson,6,Gardening,2022-08-09 06:58:46,2022-08-09 06:58:46
2021-08-21,Employee,Billable,False,25,20,35,Weekly Gardening Service,QBO,False,106,1,12,1,36,Cheng-Cheng Lok,6,Gardening,2021-08-21 02:17:35,2021-08-21 02:17:35
2023-09-22,Employee,Billable,False,90,15,42,Custom Design,QBO,False,107,1,12,1,33,Cathy Quon,4,Design,2023-09-22 07:26:02,2023-09-22 07:26:02
2023-07-07,Employee,HasBeenBilled,False,40,21,37,Custom Design,QBO,False,108,1,13,1,13,John Melton,4,Design,2023-07-07 11:26:01,2023-07-07 11:26:01
2022-04-05,Employee,NotBillable,False,0,23,29,Custom Design,QBO,False,109,0,69,0,51,Moturu Tapasvi,4,Design,2022-04-05 01:49:21,2022-04-05 01:49:21
2021-02-28,Employee,HasBeenBilled,False,92,15,40,Weekly Gardening Service,QBO,False,110,1,12,1,52,Nadia Phillipchuk,6,Gardening,2021-02-28 17:16:31,2021-02-28 17:16:31
2021-12-10,Employee,HasBeenBilled,False,23,3,27,Weekly Gardening Service,QBO,False,111,0,67,0,47,Kari Steblay,6,Gardening,2021-12-10 13:16:22,2021-12-10 13:16:22
2021-07-03,Employee,Billable,False,52,14,25,Pest Control Services,QBO,False,112,1,54,1,56,Rob deMontarnal,10,Pest Control,2021-07-03 08:00:21,2021-07-03 08:00:21
2022-06-12,Employee,HasBeenBilled,False,87,22,15,Rock Fountain,QBO,False,113,1,54,1,45,Jordan Burgess,5,Rock Fountain,2022-06-12 01:19:33,2022-06-12 01:19:33
2023-02-12,Employee,NotBillable,False,0,9,0,Weekly Gardening Service,QBO,False,114,0,67,0,25,Sushi by Katsuyuki,6,Gardening,2023-02-12 06:14:41,2023-02-12 06:14:41
2022-12-09,Employee,NotBillable,False,0,6,18,Weekly Gardening Service,QBO,False,115,0,67,0,36,Cheng-Cheng Lok,6,Gardening,2022-12-09 07:37:04,2022-12-09 07:37:04
2021-10-06,Employee,Billable,False,26,5,49,Concrete for fountain installation,QBO,False,116,1,13,1,17,Mark Cho,3,Concrete,2021-10-06 23:05:59,2021-10-06 23:05:59
2022-09-25,Employee,Billable,False,63,10,55,Weekly Gardening Service,QBO,False,117,0,67,0,40,Gorman Ho,6,Gardening,2022-09-25 16:15:55,2022-09-25 16:15:55
2021-03-03,Employee,HasBeenBilled,False,12,17,58,Weekly Gardening Service,QBO,False,118,0,69,0,10,Geeta Kalapatapu,6,Gardening,2021-03-03 09:50:49,2021-03-03 09:50:49
2022-12-17,Employee,Billable,False,79,18,26,Rock Fountain,QBO,False,119,1,12,1,10,Geeta Kalapatapu,5,Rock Fountain,2022-12-17 05:28:31,2022-12-17 05:28:31
2022-01-08,Employee,NotBillable,False,0,12,21,Sod,QBO,False,120,1,13,1,11,Gevelber Photography,14,Sod,2022-01-08 02:42:49,2022-01-08 02:42:49
2021-09-30,Employee,HasBeenBilled,False,90,26,1,Custom Design,QBO,False,121,1,13,1,27,Video Games by Dan,4,Design,2021-09-30 08:56:38,2021-09-30 08:56:38
2023-11-28,Employee,HasBeenBilled,False,72,25,47,Custom Design,QBO,False,122,1,54,1,38,Ecker Designs,4,Design,2023-11-28 21:56:11,2023-11-28 21:56:11
2021-03-20,Employee,Billable,False,79,21,52,Sprinkler Heads,QBO,False,123,0,55,0,13,John Melton,16,Sprinkler Heads,2021-03-20 15:18:14,2021-03-20 15:18:14
2023-09-10,Employee,HasBeenBilled,False,80,27,26,Weekly Gardening Service,QBO,False,124,0,69,0,47,Kari Steblay,6,Gardening,2023-09-10 12:19:37,2023-09-10 12:19:37
2023-07-13,Employee,Billable,False,90,20,17,Weekly Gardening Service,QBO,False,125,1,13,1,49,Kristy Abercrombie,6,Gardening,2023-07-13 15:10:56,2023-07-13 15:10:56
2022-11-01,Employee,Billable,False,31,29,14,Weekly Gardening Service,QBO,False,126,0,55,0,13,John Melton,6,Gardening,2022-11-01 11:16:58,2022-11-01 11:16:58
2023-05-09,Employee,HasBeenBilled,False,48,28,60,Weekly Gardening Service,QBO,False,127,1,13,1,56,Rob deMontarnal,6,Gardening,2023-05-09 01:13:35,2023-05-09 01:13:35
2023-01-03,Employee,HasBeenBilled,False,29,6,32,Weekly Gardening Service,QBO,False,128,1,12,1,34,Chadha's Consultants,6,Gardening,2023-01-03 16:53:08,2023-01-03 16:53:08
2022-09-22,Employee,Billable,False,62,2,16,Rock Fountain,QBO,False,129,0,55,0,43,Jacint Tumacder,5,Rock Fountain,2022-09-22 08:59:45,2022-09-22 08:59:45
2021-03-11,Employee,HasBeenBilled,False,95,11,22,Weekly Gardening Service,QBO,False,130,0,68,0,12,Jeff's Jalopies,6,Gardening,2021-03-11 21:24:49,2021-03-11 21:24:49
2021-07-02,Employee,NotBillable,False,0,5,47,Sprinkler Heads,QBO,False,131,0,68,0,40,Gorman Ho,16,Sprinkler Heads,2021-07-02 01:20:00,2021-07-02 01:20:00
2021-03-10,Employee,HasBeenBilled,False,12,10,6,Weekly Gardening Service,QBO,False,132,0,69,0,27,Video Games by Dan,6,Gardening,2021-03-10 22:59:03,2021-03-10 22:59:03
2023-10-18,Employee,Billable,False,24,2,0,Weekly Gardening Service,QBO,False,133,0,69,0,32,Benjamin Yeung,6,Gardening,2023-10-18 15:56:49,2023-10-18 15:56:49
2022-01-24,Employee,NotBillable,False,0,14,20,Custom Design,QBO,False,134,0,69,0,18,Paulsen Medical Supplies,4,Design,2022-01-24 18:43:41,2022-01-24 18:43:41
2021-05-09,Employee,HasBeenBilled,False,33,29,46,Lumber,QBO,False,135,1,54,1,13,John Melton,1,Services,2021-05-09 00:06:39,2021-05-09 00:06:39
2023-06-18,Employee,Billable,False,95,29,56,Weekly Gardening Service,QBO,False,136,0,68,0,40,Gorman Ho,6,Gardening,2023-06-18 08:57:56,2023-06-18 08:57:56
2022-04-28,Employee,HasBeenBilled,False,77,17,39,Weekly Gardening Service,QBO,False,137,1,13,1,44,Jen Zaccarella,6,Gardening,2022-04-28 11:50:30,2022-04-28 11:50:30
2022-10-10,Employee,HasBeenBilled,False,13,9,28,Custom Design,QBO,False,138,0,69,0,6,Dylan Sollfrank,4,Design,2022-10-10 23:07:03,2022-10-10 23:07:03
2023-07-18,Employee,NotBillable,False,0,14,20,Sprinkler Heads,QBO,False,139,0,68,0,41,Hazel Robinson,16,Sprinkler Heads,2023-07-18 19:15:41,2023-07-18 19:15:41
2022-08-16,Employee,HasBeenBilled,False,27,27,15,Rock Fountain,QBO,False,140,0,55,0,48,Karna Nisewaner,5,Rock Fountain,2022-08-16 23:43:49,2022-08-16 23:43:49
2022-08-31,Employee,NotBillable,False,0,27,2,Weekly Gardening Service,QBO,False,141,0,69,0,19,Rago Travel Agency,6,Gardening,2022-08-31 10:52:00,2022-08-31 10:52:00
2022-07-19,Employee,NotBillable,False,0,20,27,Rock Fountain,QBO,False,142,0,69,0,53,Oxon Insurance Agency,5,Rock Fountain,2022-07-19 00:38:06,2022-07-19 00:38:06
2022-09-13,Employee,Billable,False,25,21,30,Custom Design,QBO,False,143,1,54,1,4,Diego Rodriguez,4,Design,2022-09-13 04:55:27,2022-09-13 04:55:27
2022-05-23,Employee,NotBillable,False,0,27,33,Custom Design,QBO,False,144,1,13,1,48,Karna Nisewaner,4,Design,2022-05-23 07:03:32,2022-05-23 07:03:32
