PaymentType,Credit,TotalAmt,domain,sparse,Id,SyncToken,TxnDate,Line,AccountRef_value,AccountRef_name,PurchaseEx_any,MetaData_CreateTime,MetaData_LastUpdatedTime,CurrencyRef_value,CurrencyRef_name,EntityRef_value,EntityRef_name,EntityRef_type,PrivateNote,PrintStatus,DocNumber,RemitToAddr_Id,RemitToAddr_Line1,RemitToAddr_City,RemitToAddr_CountrySubDivisionCode,RemitToAddr_PostalCode,RemitToAddr_Lat,RemitToAddr_Long
CreditCard,False,774.36,QBO,False,11,0,2022-12-15,"[{'Id': '1', 'LineNum': 1, 'Description': 'Custom Design', 'Amount': 375.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '4', 'name': 'Design'}, 'UnitPrice': 75, 'Qty': 5, 'TaxCodeRef': {'value': 'NON'}}}, {'Amount': 375.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",2,Retained Earnings,"[{'name': '{http://schema.intuit.com/finance/v3}NameValue', 'declaredType': 'com.intuit.schema.finance.v3.NameValue', 'scope': 'javax.xml.bind.JAXBElement$GlobalScope', 'value': {'Name': 'TxnType', 'Value': '68'}, 'nil': False, 'globalScope': True, 'typeSubstituted': False}]",2022-12-15 07:27:08,2022-12-15 07:27:08,USD,United States Dollar,41,Hicks Hardware,Vendor,two house try,,2975,<bound method Provider.building_number of <faker.providers.address.en_US.Provider object at 0x000001A6B14B6490>>,27833 Mikayla Drive Suite 388,North Geraldton,LA,34963,79.226430,-65.980047
CreditCard,True,19.31,QBO,False,12,1,2023-07-25,"[{'Id': '1', 'LineNum': 1, 'Description': 'Custom Design', 'Amount': 375.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '4', 'name': 'Design'}, 'UnitPrice': 75, 'Qty': 5, 'TaxCodeRef': {'value': 'NON'}}}, {'Amount': 375.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",76,Gas and Electric,"[{'name': '{http://schema.intuit.com/finance/v3}NameValue', 'declaredType': 'com.intuit.schema.finance.v3.NameValue', 'scope': 'javax.xml.bind.JAXBElement$GlobalScope', 'value': {'Name': 'TxnType', 'Value': '19'}, 'nil': False, 'globalScope': True, 'typeSubstituted': False}]",2023-07-25 08:08:27,2023-07-25 08:08:27,USD,United States Dollar,48,PG&E,Vendor,traditional safe view,Not Set,3401,<bound method Provider.building_number of <faker.providers.address.en_US.Provider object at 0x000001A6B14B6490>>,295 Roth Branch Suite 218,Caseyberg,LA,66702,22.971155,-145.434048
Cash,,956.34,QBO,False,13,0,2021-08-13,"[{'Id': '1', 'LineNum': 1, 'Description': 'Weekly Gardening Service', 'Amount': 75.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '6', 'name': 'Gardening'}, 'UnitPrice': 25, 'Qty': 3, 'TaxCodeRef': {'value': 'NON'}}}, {'Amount': 75.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",20,Supplies,"[{'name': '{http://schema.intuit.com/finance/v3}NameValue', 'declaredType': 'com.intuit.schema.finance.v3.NameValue', 'scope': 'javax.xml.bind.JAXBElement$GlobalScope', 'value': {'Name': 'TxnType', 'Value': '21'}, 'nil': False, 'globalScope': True, 'typeSubstituted': False}]",2021-08-13 18:47:43,2021-08-13 18:47:43,USD,United States Dollar,57,Squeaky Kleen Car Wash,Vendor,executive just find,Not Set,4002,<bound method Provider.building_number of <faker.providers.address.en_US.Provider object at 0x000001A6B14B6490>>,9418 Savage Greens Apt. 032,North Anthony,LA,23960,52.8298535,-109.699122
CreditCard,True,238.39,QBO,False,14,0,2022-02-25,"[{'Id': '1', 'LineNum': 1, 'Description': 'Sprinkler Heads', 'Amount': 30.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '16', 'name': 'Sprinkler Heads'}, 'UnitPrice': 2, 'Qty': 15, 'TaxCodeRef': {'value': 'NON'}}}, {'Id': '2', 'LineNum': 2, 'Description': 'Rock Fountain', 'Amount': 275.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '5', 'name': 'Rock Fountain'}, 'UnitPrice': 275, 'Qty': 1, 'TaxCodeRef': {'value': 'NON'}}}, {'Amount': 305.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}, {'Amount': 30.5, 'DetailType': 'DiscountLineDetail', 'DiscountLineDetail': {'PercentBased': True, 'DiscountPercent': 10, 'DiscountAccountRef': {'value': '86', 'name': 'Discounts given'}}}]",87,Unapplied Cash Payment Income,"[{'name': '{http://schema.intuit.com/finance/v3}NameValue', 'declaredType': 'com.intuit.schema.finance.v3.NameValue', 'scope': 'javax.xml.bind.JAXBElement$GlobalScope', 'value': {'Name': 'TxnType', 'Value': '14'}, 'nil': False, 'globalScope': True, 'typeSubstituted': False}]",2022-02-25 04:30:27,2022-02-25 04:30:27,USD,United States Dollar,56,Bob's Burger Joint,Vendor,their as south,Not Set,4324,<bound method Provider.building_number of <faker.providers.address.en_US.Provider object at 0x000001A6B14B6490>>,315 Tucker Ports Suite 704,Monicatown,LA,01634,79.824346,28.028234
Check,,37.5,QBO,False,15,0,2021-03-22,"[{'Id': '1', 'LineNum': 1, 'Description': 'Rock Fountain', 'Amount': 275.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '5', 'name': 'Rock Fountain'}, 'UnitPrice': 275, 'Qty': 1, 'TaxCodeRef': {'value': 'TAX'}}}, {'Id': '2', 'LineNum': 2, 'Description': 'Sprinkler Pipes', 'Amount': 16.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '17', 'name': 'Sprinkler Pipes'}, 'UnitPrice': 4, 'Qty': 4, 'TaxCodeRef': {'value': 'TAX'}}}, {'Amount': 291.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",46,Job Materials,"[{'name': '{http://schema.intuit.com/finance/v3}NameValue', 'declaredType': 'com.intuit.schema.finance.v3.NameValue', 'scope': 'javax.xml.bind.JAXBElement$GlobalScope', 'value': {'Name': 'TxnType', 'Value': '65'}, 'nil': False, 'globalScope': True, 'typeSubstituted': False}]",2021-03-22 05:19:04,2021-03-22 05:19:04,USD,United States Dollar,33,Chin's Gas and Oil,Vendor,drop trade wrong,Not Set,1497,<bound method Provider.building_number of <faker.providers.address.en_US.Provider object at 0x000001A6B14B6490>>,626 Victoria Spur Suite 515,New Kenneth,TX,63413,-39.3384945,-75.347283
Check,,248.81,QBO,False,16,0,2023-03-06,"[{'Amount': 75.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",78,Purchases,"[{'name': '{http://schema.intuit.com/finance/v3}NameValue', 'declaredType': 'com.intuit.schema.finance.v3.NameValue', 'scope': 'javax.xml.bind.JAXBElement$GlobalScope', 'value': {'Name': 'TxnType', 'Value': '50'}, 'nil': False, 'globalScope': True, 'typeSubstituted': False}]",2023-03-06 21:56:13,2023-03-06 21:56:13,USD,United States Dollar,52,Tony Rondonuwu,Vendor,hair hear throw,,1179,<bound method Provider.building_number of <faker.providers.address.en_US.Provider object at 0x000001A6B14B6490>>,690 Hess Island,Lake Emilychester,FL,83522,-18.567791,-80.689781
CreditCard,False,335.95,QBO,False,17,0,2023-05-22,"[{'Id': '1', 'LineNum': 1, 'Description': 'Sprinkler Heads', 'Amount': 30.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '16', 'name': 'Sprinkler Heads'}, 'UnitPrice': 2, 'Qty': 15, 'TaxCodeRef': {'value': 'NON'}}}, {'Id': '2', 'LineNum': 2, 'Description': 'Rock Fountain', 'Amount': 275.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '5', 'name': 'Rock Fountain'}, 'UnitPrice': 275, 'Qty': 1, 'TaxCodeRef': {'value': 'NON'}}}, {'Amount': 305.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}, {'Amount': 30.5, 'DetailType': 'DiscountLineDetail', 'DiscountLineDetail': {'PercentBased': True, 'DiscountPercent': 10, 'DiscountAccountRef': {'value': '86', 'name': 'Discounts given'}}}]",43,Loan Payable,"[{'name': '{http://schema.intuit.com/finance/v3}NameValue', 'declaredType': 'com.intuit.schema.finance.v3.NameValue', 'scope': 'javax.xml.bind.JAXBElement$GlobalScope', 'value': {'Name': 'TxnType', 'Value': '48'}, 'nil': False, 'globalScope': True, 'typeSubstituted': False}]",2023-05-22 15:16:55,2023-05-22 15:16:55,USD,United States Dollar,52,Tony Rondonuwu,Vendor,or board theory,Not Set,2576,<bound method Provider.building_number of <faker.providers.address.en_US.Provider object at 0x000001A6B14B6490>>,38179 Scott Shoal Apt. 943,East Brettfort,CA,10323,19.190642,121.103437
Cash,,906.51,QBO,False,18,0,2023-11-18,"[{'Id': '1', 'LineNum': 1, 'Description': 'Sprinkler Pipes', 'Amount': 48.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '17', 'name': 'Sprinkler Pipes'}, 'UnitPrice': 4, 'Qty': 12, 'TaxCodeRef': {'value': 'NON'}}}, {'Id': '2', 'LineNum': 2, 'Description': 'Sprinkler Pipes', 'Amount': 60.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '17', 'name': 'Sprinkler Pipes'}, 'UnitPrice': 4, 'Qty': 15, 'TaxCodeRef': {'value': 'NON'}}}, {'Id': '3', 'LineNum': 3, 'Description': 'Garden Rocks', 'Amount': 48.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '13', 'name': 'Rocks'}, 'UnitPrice': 12, 'Qty': 4, 'TaxCodeRef': {'value': 'NON'}}}, {'Amount': 156.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",5,Fees Billed,"[{'name': '{http://schema.intuit.com/finance/v3}NameValue', 'declaredType': 'com.intuit.schema.finance.v3.NameValue', 'scope': 'javax.xml.bind.JAXBElement$GlobalScope', 'value': {'Name': 'TxnType', 'Value': '12'}, 'nil': False, 'globalScope': True, 'typeSubstituted': False}]",2023-11-18 20:59:35,2023-11-18 20:59:35,USD,United States Dollar,40,Hall Properties,Vendor,early lawyer impact,Not Set,2061,<bound method Provider.building_number of <faker.providers.address.en_US.Provider object at 0x000001A6B14B6490>>,31100 Mcmahon Village,Dianaview,FL,13557,-32.6825765,-67.395624
Cash,,334.36,QBO,False,19,0,2021-07-25,"[{'Id': '1', 'LineNum': 1, 'Description': 'Rock Fountain', 'Amount': 275.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '5', 'name': 'Rock Fountain'}, 'UnitPrice': 275, 'Qty': 1, 'TaxCodeRef': {'value': 'TAX'}}}, {'Id': '2', 'LineNum': 2, 'Description': 'Sprinkler Pipes', 'Amount': 16.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '17', 'name': 'Sprinkler Pipes'}, 'UnitPrice': 4, 'Qty': 4, 'TaxCodeRef': {'value': 'TAX'}}}, {'Amount': 291.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",76,Gas and Electric,"[{'name': '{http://schema.intuit.com/finance/v3}NameValue', 'declaredType': 'com.intuit.schema.finance.v3.NameValue', 'scope': 'javax.xml.bind.JAXBElement$GlobalScope', 'value': {'Name': 'TxnType', 'Value': '63'}, 'nil': False, 'globalScope': True, 'typeSubstituted': False}]",2021-07-25 01:12:11,2021-07-25 01:12:11,USD,United States Dollar,32,Cal Telephone,Vendor,watch town pattern,Not Set,8405,<bound method Provider.building_number of <faker.providers.address.en_US.Provider object at 0x000001A6B14B6490>>,79177 Bryant Mountain Apt. 268,Brianton,CA,09643,-7.3253355,-63.285357
Cash,,458.46,QBO,False,20,0,2021-10-11,"[{'Id': '1', 'LineNum': 1, 'Description': 'Weekly Gardening Service', 'Amount': 50.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '6', 'name': 'Gardening'}, 'UnitPrice': 25, 'Qty': 2, 'TaxCodeRef': {'value': 'NON'}}}, {'Id': '2', 'LineNum': 2, 'Description': 'Pest Control Services', 'Amount': 35.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '10', 'name': 'Pest Control'}, 'UnitPrice': 35, 'Qty': 1, 'TaxCodeRef': {'value': 'NON'}}}, {'Id': '3', 'LineNum': 3, 'Description': 'Sod', 'Amount': 131.25, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '14', 'name': 'Sod'}, 'UnitPrice': 8.75, 'Qty': 15, 'TaxCodeRef': {'value': 'TAX'}}}, {'Amount': 216.25, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",86,Discounts given,"[{'name': '{http://schema.intuit.com/finance/v3}NameValue', 'declaredType': 'com.intuit.schema.finance.v3.NameValue', 'scope': 'javax.xml.bind.JAXBElement$GlobalScope', 'value': {'Name': 'TxnType', 'Value': '6'}, 'nil': False, 'globalScope': True, 'typeSubstituted': False}]",2021-10-11 10:43:28,2021-10-11 10:43:28,USD,United States Dollar,34,Cigna Health Care,Vendor,sister full old,,5528,<bound method Provider.building_number of <faker.providers.address.en_US.Provider object at 0x000001A6B14B6490>>,2623 David Trafficway,Rayview,FL,88664,-80.1986315,24.084146
