Taxable,Job,BillWithParent,Balance,BalanceWithJobs,PreferredDeliveryMethod,domain,sparse,Id,SyncToken,GivenName,FamilyName,FullyQualifiedName,CompanyName,DisplayName,PrintOnCheckName,Active,BillAddr_Id,BillAddr_Line1,BillAddr_City,BillAddr_CountrySubDivisionCode,BillAddr_PostalCode,BillAddr_Lat,BillAddr_Long,ShipAddr_Id,ShipAddr_Line1,ShipAddr_City,ShipAddr_CountrySubDivisionCode,ShipAddr_PostalCode,ShipAddr_Lat,ShipAddr_Long,CurrencyRef_value,CurrencyRef_name,MetaData_CreateTime,MetaData_LastUpdatedTime,PrimaryPhone_FreeFormNumber,PrimaryEmailAddr_Address,Mobile_FreeFormNumber,Fax_FreeFormNumber,WebAddr_URI,Level,ParentRef_value,BillAddr_Country,ShipAddr_Country,MiddleName
FALSE,FALSE,FALSE,0,0,Print,QBO,FALSE,27,0,Dan,Wilks,Video Games by Dan,Video Games by Dan,Video Games by Dan,Video Games by Dan,TRUE,28,202 Main St.,Tucson,AZ,85704,32.2242351,-110.9758242,28,202 Main St.,Tucson,AZ,85704,32.2242351,-110.9758242,USD,United States Dollar,2021-11-28T17:26:07-08:00,2021-11-28T17:26:07-08:00,(650) 555-3456,Videogames@intuit.com,,,,,,,,
FALSE,FALSE,FALSE,0,0,Print,QBO,FALSE,28,0,Whitney,Brewer,Wedding Planning by Whitney,Wedding Planning by Whitney,Wedding Planning by Whitney,Wedding Planning by Whitney,TRUE,29,135 Broadway,Menlo Park,CA,94304,37.4846734,-122.1989488,29,135 Broadway,Menlo Park,CA,94304,37.4846734,-122.1989488,USD,United States Dollar,2021-11-28T17:28:21-08:00,2021-11-28T17:28:21-08:00,(650) 557-2473,Dream_Wedding@intuit.com,,,http://www.dreamwedding.intuit.com,,,,,
FALSE,FALSE,FALSE,375,375,Print,QBO,FALSE,29,0,Nicola,Weiskopf,Weiskopf Consulting,Weiskopf Consulting,Weiskopf Consulting,Weiskopf Consulting,TRUE,30,45612 Main St.,Bayshore,CA,94326,45.256574,-66.0943698,30,45612 Main St.,Bayshore,CA,94326,45.256574,-66.0943698,USD,United States Dollar,2021-11-28T17:29:04-08:00,2021-12-04T11:09:08-08:00,(650) 555-1423,Consulting@intuit.com,,,,,,,,
FALSE,FALSE,FALSE,1650,1650,None,QBO,FALSE,30,0,Adwin,Ko,Adwin Ko,Ko International Ltd,Adwin Ko,Adwin Ko,TRUE,2,25 Stone Drive,Sydney,NSW,2001,-33.737492,151.195909,,,,,,,,AUD,Australian Dollar,2021-09-07T22:02:17-07:00,2021-10-06T13:36:42-07:00,,,,,,,,,,
FALSE,FALSE,FALSE,0,0,None,QBO,FALSE,31,0,Alex,Blakey,Alex Blakey,Blakey Group,Alex Blakey,Alex Blakey,TRUE,43,Unit 345,San Francisco,,12345,32.5119363,-116.8832201,,,,,,,,USD,United States Dollar,2021-09-07T22:18:04-07:00,2021-09-07T22:18:04-07:00,US,,,,,,,,,
FALSE,FALSE,FALSE,7150,7150,None,QBO,FALSE,32,0,Benjamin,Yeung,Benjamin Yeung,Yeung's Architects,Benjamin Yeung,Benjamin Yeung,TRUE,4,9 Temple St,"Melbourne,",VIC,3001,-37.869967,145.093636,,,,,,,,AUD,Australian Dollar,2021-09-07T22:02:21-07:00,2021-10-06T21:03:14-07:00,,,,,,,,,,
FALSE,FALSE,FALSE,0,0,None,QBO,FALSE,33,0,Cathy,Quon,Cathy Quon,Cathy's Consulting Company,Cathy Quon,Cathy Quon,TRUE,5,12 Bagot Pl,Melbourne,VIC,3001,INVALID,INVALID,,,,,,,,AUD,Australian Dollar,2021-09-07T22:02:21-07:00,2021-10-06T20:35:54-07:00,,,,,,,,,,
FALSE,FALSE,FALSE,0,0,None,QBO,FALSE,34,1,Bobby,Chadha,Chadha's Consultants,Chadha's Consultants,Chadha's Consultants,Chadha's Consultants,TRUE,,,,,,,,,,,,,,,AUD,Australian Dollar,2021-09-07T22:02:21-07:00,2021-09-08T00:51:22-07:00,,,,,,,,,,
FALSE,FALSE,FALSE,4895,4895,None,QBO,FALSE,35,0,Charlie,Whitehead,Charlie Whitehead,Whitehead and Sons,Charlie Whitehead,Charlie Whitehead,TRUE,6,14 Kerr St,Melbourne,VIC,3001,-37.7964762,144.9760071,,,,,,,,AUD,Australian Dollar,2021-09-07T22:02:22-07:00,2021-10-09T15:49:12-07:00,,,,,,,,,,
FALSE,FALSE,FALSE,0,0,None,QBO,FALSE,36,0,Cheng-Cheng,Lok,Cheng-Cheng Lok,Lok's Management Co.,Cheng-Cheng Lok,Cheng-Cheng Lok,TRUE,7,20 Chain Road,Melbourne,VIC,3001,-38.226863,145.180924,,,,,,,,AUD,Australian Dollar,2021-09-07T22:02:22-07:00,2021-09-07T22:02:22-07:00,,,,,,,,,,
FALSE,FALSE,FALSE,450,450,None,QBO,FALSE,37,1,Clement,Nappoly,Clement's Cleaners,Clement's Cleaners,Clement's Cleaners,Clement's Cleaners,TRUE,8,101 River St,Melbourne,VIC,3001,-37.840717,144.88504,8,101 River St,Melbourne,VIC,3001,-37.840717,144.88504,AUD,Australian Dollar,2021-09-07T22:02:22-07:00,2021-12-09T05:38:37-08:00,,,,,,,,,,
FALSE,FALSE,FALSE,0,0,None,QBO,FALSE,38,1,Deanna,Ecker,Ecker Designs,Ecker Designs,Ecker Designs,Ecker Designs,TRUE,9,Locked Bag 101,Sydney,NSW,2001,INVALID,INVALID,9,Locked Bag 101,Sydney,NSW,2001,INVALID,INVALID,AUD,Australian Dollar,2021-09-07T22:02:22-07:00,2021-10-06T20:34:36-07:00,,,,,,,,,,
FALSE,FALSE,FALSE,0,0,None,QBO,FALSE,39,0,Froilan,Rosqueta,Froilan Rosqueta,,Froilan Rosqueta,Froilan Rosqueta,TRUE,10,27 Main Road,Sydney,NSW,2001,-33.928982,151.112931,,,,,,,,AUD,Australian Dollar,2021-09-07T22:02:23-07:00,2021-09-07T22:02:23-07:00,,,,,,,,,,
FALSE,FALSE,FALSE,0,0,None,QBO,FALSE,40,0,Gorman,Ho,Gorman Ho,Ho Engineering Company,Gorman Ho,Gorman Ho,TRUE,12,14/6 Frankton Crescent,Sydney,NSW,2001,INVALID,INVALID,,,,,,,,AUD,Australian Dollar,2021-09-07T22:02:23-07:00,2021-09-07T22:02:23-07:00,,,,,,,,,,
FALSE,FALSE,FALSE,0,0,None,QBO,FALSE,41,0,Hazel,Robinson,Hazel Robinson,Robinson Legal Services,Hazel Robinson,Hazel Robinson,TRUE,13,PO Box 699,Richmond,VIC,3004,-37.809902,144.992981,,,,,,,,AUD,Australian Dollar,2021-09-07T22:02:24-07:00,2021-10-06T20:36:45-07:00,,,,,,,,,,
FALSE,FALSE,FALSE,0,0,None,QBO,FALSE,42,0,Himateja,Madala,Himateja Madala,,Himateja Madala,Himateja Madala,TRUE,14,105 Woodlawn Drive,Sydney,NSW,2000,-33.7817633,150.953599,,,,,,,,AUD,Australian Dollar,2021-09-07T22:02:24-07:00,2021-09-07T22:02:24-07:00,,,,,,,,,,
FALSE,FALSE,FALSE,0,0,None,QBO,FALSE,43,0,Jacint,Tumacder,Jacint Tumacder,,Jacint Tumacder,Jacint Tumacder,TRUE,,,,,,,,,,,,,,,AUD,Australian Dollar,2021-09-07T22:02:24-07:00,2021-09-07T22:02:24-07:00,,,,,,,,,,
FALSE,FALSE,FALSE,0,0,None,QBO,FALSE,44,0,Jen,Zaccarella,Jen Zaccarella,,Jen Zaccarella,Jen Zaccarella,TRUE,,,,,,,,,,,,,,,AUD,Australian Dollar,2021-09-07T22:02:24-07:00,2021-09-07T22:02:24-07:00,,,,,,,,,,
FALSE,FALSE,FALSE,11330,11330,None,QBO,FALSE,45,0,Jordan,Burgess,Jordan Burgess,,Jordan Burgess,Jordan Burgess,TRUE,15,1 Success Way,Sydney,NSW,2000,-33.871226,150.897656,,,,,,,,AUD,Australian Dollar,2021-09-07T22:02:25-07:00,2021-12-24T05:41:49-08:00,,,,,,,,,,
FALSE,FALSE,FALSE,0,0,None,QBO,FALSE,46,0,Justine,Outland,Justine Outland,,Justine Outland,Justine Outland,TRUE,,,,,,,,,,,,,,,AUD,Australian Dollar,2021-09-07T22:02:25-07:00,2021-09-07T22:02:25-07:00,,,,,,,,,,
FALSE,FALSE,FALSE,0,0,None,QBO,FALSE,47,0,Kari,Steblay,Kari Steblay,,Kari Steblay,Kari Steblay,TRUE,16,"Sydney, NSW 2000",,NSW,2000,-33.8687572,151.2173476,,,,,,,,AUD,Australian Dollar,2021-09-07T22:02:25-07:00,2021-09-07T22:02:25-07:00,,,,,,,,,,
FALSE,FALSE,FALSE,0,0,None,QBO,FALSE,48,0,Karna,Nisewaner,Karna Nisewaner,,Karna Nisewaner,Karna Nisewaner,TRUE,17,458 Main Street,Sydney,NSW,2001,-33.7714345,150.9109092,,,,,,,,AUD,Australian Dollar,2021-09-07T22:02:25-07:00,2021-09-07T22:02:25-07:00,,,,,,,,,,
FALSE,FALSE,FALSE,0,0,None,QBO,FALSE,49,0,Kristy,Abercrombie,Kristy Abercrombie,Abercrombie International Group,Kristy Abercrombie,Kristy Abercrombie,TRUE,44,Boveney,Windsor,,SL4 6QP,51.4910429,-0.651005,,,,,,,,GBP,British Pound Sterling,2021-09-07T22:18:04-07:00,2021-09-07T22:18:04-07:00,,,,,,,,,,
FALSE,FALSE,FALSE,0,0,None,QBO,FALSE,50,1,Glenn,Lew,Lew Plumbing,Lew Plumbing,Lew Plumbing,Lew Plumbing,TRUE,11,10 Piper St.,Melbourne,VIC,3001,-37.710039,144.96566,11,10 Piper St.,Melbourne,VIC,3001,-37.710039,144.96566,AUD,Australian Dollar,2021-09-07T22:02:23-07:00,2021-10-06T20:36:33-07:00,,,,,,,,,,
FALSE,FALSE,FALSE,0,0,None,QBO,FALSE,51,0,Moturu,Tapasvi,Moturu Tapasvi,,Moturu Tapasvi,Moturu Tapasvi,TRUE,18,17 Keystroke Road,Sydney,NSW,2001,INVALID,INVALID,,,,,,,,AUD,Australian Dollar,2021-09-07T22:02:26-07:00,2021-09-07T22:02:26-07:00,,,,,,,,,,
FALSE,FALSE,FALSE,0,0,None,QBO,FALSE,52,0,Nadia,Phillipchuk,Nadia Phillipchuk,,Nadia Phillipchuk,Nadia Phillipchuk,TRUE,,,,,,,,,,,,,,,AUD,Australian Dollar,2021-09-07T22:02:26-07:00,2021-09-07T22:02:26-07:00,,,,,,,,,,
FALSE,FALSE,FALSE,0,0,None,QBO,FALSE,53,1,Annie,Ma,Oxon Insurance Agency,Oxon Insurance Agency,Oxon Insurance Agency,Oxon Insurance Agency,TRUE,3,11 Chain Road,Melbourne,VIC,3001,-38.066621,145.297772,3,11 Chain Road,Melbourne,VIC,3001,-38.066621,145.297772,AUD,Australian Dollar,2021-09-07T22:02:20-07:00,2021-10-06T20:35:31-07:00,,,,,,,,,,
FALSE,FALSE,FALSE,0,0,None,QBO,FALSE,54,0,,,Oxon Insurance Agency:Oxon - Retreat,Oxon - Retreat,Oxon - Retreat,Oxon - Retreat,TRUE,49,11 Chain Road,Melbourne,VIC,3001,-38.066621,145.297772,49,11 Chain Road,Melbourne,VIC,3001,-38.066621,145.297772,AUD,Australian Dollar,2021-09-08T00:51:11-07:00,2021-09-08T00:51:11-07:00,,,,,,,,,,
FALSE,TRUE,TRUE,0,0,None,QBO,FALSE,55,0,,,Oxon Insurance Agency:Oxon -- Holiday Party,Oxon -- Holiday Party,Oxon -- Holiday Party,Oxon -- Holiday Party,TRUE,48,11 Chain Road,Melbourne,VIC,3001,-38.066621,145.297772,48,11 Chain Road,Melbourne,VIC,3001,-38.066621,145.297772,AUD,Australian Dollar,2021-09-08T00:50:53-07:00,2021-09-08T00:50:53-07:00,,,,,,,,,,
FALSE,TRUE,TRUE,0,0,None,QBO,FALSE,56,0,Rob,deMontarnal,Rob deMontarnal,,Rob deMontarnal,Rob deMontarnal,TRUE,,,,,,,,,,,,,,,AUD,Australian Dollar,2021-09-07T22:02:26-07:00,2021-09-07T22:02:26-07:00,,,,,,,,,,
